Scenario,Subset,Class_ID,Class_Name,Count
scenario_L60_U40,test,4,DANCOW 1+ Van Advn ExcNutr 12x1000g ID_REDESIGN3,6
scenario_L60_U40,test,5,DANCOW 1+ Van Advn ExcNutr 12x800g N1 ID_REDESIGN3,8
scenario_L60_U40,test,6,DANCOW 1+ Van Advn ExcNutr 24x400g ID_REDESIGN3,11
scenario_L60_U40,test,7,DANCOW 1+ Van Advn ExcNutr 40x200g N1 ID_REDESIGN3,2
scenario_L60_U40,test,8,DANCOW 3+ Madu Advn ExcNutr 12x1000g ID_REDESIGN3,14
scenario_L60_U40,test,9,DANCOW 3+ Madu Advn ExcNutr 12x800g ID_REDESIGN3,11
scenario_L60_U40,test,10,DANCOW 3+ Madu Advn ExcNutr 24x400g ID_REDESIGN3,13
scenario_L60_U40,test,11,DANCOW 3+ Van Advn ExcNutr 12x1000g ID_REDESIGN3,15
scenario_L60_U40,test,12,DANCOW 3+ Van Advn ExcNutr 12x800g ID_REDESIGN3,3
scenario_L60_U40,test,13,DANCOW 3+ Van Advn ExcNutr 24x400g ID_REDESIGN3,16
scenario_L60_U40,test,14,DANCOW 5+ Madu Advn ExcNutr 12x1000g ID_REDESIGN3,9
scenario_L60_U40,test,15,DANCOW 5+ Madu Advn ExcNutr 12x800g ID_REDESIGN3,10
scenario_L60_U40,test,16,DANCOW 5+ Madu Advn ExcNutr 24x400g ID_REDESIGN3,11
scenario_L60_U40,test,17,LACTOGEN 1 Happynutri 12x1kg ID_REDESIGN2,4
scenario_L60_U40,test,18,LACTOGEN 1 Happynutri 12x750g N1 ID_REDESIGN2,2
scenario_L60_U40,test,19,LACTOGEN 1 Happynutri 24x350g N1 ID_REDESIGN2,4
scenario_L60_U40,test,20,LACTOGEN 1 Happynutri 40x180g N1 ID_REDESIGN2,3
scenario_L60_U40,test,21,LACTOGEN 2 Happynutri 12x1kg ID_REDESIGN2,4
scenario_L60_U40,test,22,LACTOGEN 2 Happynutri 12x750g N1 ID_REDESIGN2,3
scenario_L60_U40,test,23,LACTOGEN 2 Happynutri 24x350g N1 ID_REDESIGN2,4
scenario_L60_U40,test,24,LACTOGEN 2 Happynutri 40x180g N1 ID_REDESIGN2,3
scenario_L60_U40,test,25,LACTOGEN PRO 0-6 mo 12x1kg ID,3
scenario_L60_U40,test,26,LACTOGEN PRO 0-6 mo 12x735g ID,6
